count,TweetId,TimeStamp,Tweet,LocationName_User,Latitude,Longitude,BoundingPoint,User Mentions,URLs,Hashtags,Fav_Count,Followers_Count
,,,,,,,,,,,,
1,1.22996E+18,19-02-2020 03:01,"Love how Sheila Watt-Cloutier describes her approach: I think screaming and anger may have its place, but I act as my elders taught me. It takes a level of self control, like hunting. ""My work is another level of hunting."" @SFUDialogue #indigenous #dialogue #artic",,NA,NA,NA,['jwolowic'],[],[],1068,27
,,,,,,,,,,,,
2,1.22995E+18,19-02-2020 02:20,"Love how Sheila Watt-Cloutier describes her approach: I think screaming and anger may have its place, but I act as my elders taught me. It takes a level of self control, like hunting. ""My work is another level of hunting."" @SFUDialogue #indigenous #dialogue #artic","Vancouver, British Columbia",NA,NA,NA,['jwolowic'],[],[],1992,2880
,,,,,,,,,,,,
3,1.22995E+18,19-02-2020 02:19,"Love how Sheila Watt-Cloutier describes her approach: I think screaming and anger may have its place, but I act as my elders taught me. It takes a level of self control, like hunting. ""My work is another level of hunting."" @SFUDialogue #indigenous #dialogue #artic",,NA,NA,NA,['SFUDialogue'],[],"['artic', 'dialogue', 'indigenous']",25,102
,,,,,,,,,,,,
4,1.22991E+18,18-02-2020 23:45,Amazing display tonight #northernlights #aurora #work #artic #snow #cold https://t.co/rDQQaJ2kR9," 📍Gau, Lomaiviti",NA,NA,NA,['TJoniW'],[],"['cold', 'snow', 'artic', 'work', 'aurora', 'northernlights']",52820,1702
,,,,,,,,,,,,
5,1.22989E+18,18-02-2020 22:24,Amazing display tonight #northernlights #aurora #work #artic #snow #cold https://t.co/rDQQaJ2kR9,Jasoom,NA,NA,NA,['TJoniW'],[],"['cold', 'snow', 'artic', 'work', 'aurora', 'northernlights']",21971,494
,,,,,,,,,,,,
6,1.22989E+18,18-02-2020 22:07,Amazing display tonight #northernlights #aurora #work #artic #snow #cold https://t.co/rDQQaJ2kR9,Nadroga ,NA,NA,NA,['TJoniW'],[],"['cold', 'snow', 'artic', 'work', 'aurora', 'northernlights']",23027,1553
,,,,,,,,,,,,
7,1.22987E+18,18-02-2020 20:58,Amazing display tonight #northernlights #aurora #work #artic #snow #cold https://t.co/rDQQaJ2kR9,United Kingdom,NA,NA,NA,[],[],"['cold', 'snow', 'artic', 'work', 'aurora', 'northernlights']",18529,387
,,,,,,,,,,,,
8,1.22987E+18,18-02-2020 20:29,"If you are planning a visit to Disneyland and do not want to pay the steep parking fee of $25.00 on the property, here is a good option if traveling with 3 or less people.  #anaheimstadium #artic #freeparking #hondacenter #shuttle https://t.co/SDNXCQ2ciX https://t.co/QQPsTSc06D",,NA,NA,NA,[],['https://t.co/SDNXCQ2ciX'],"['shuttle', 'hondacenter', 'freeparking', 'artic', 'anaheimstadium']",0,0
,,,,,,,,,,,,
9,1.22982E+18,18-02-2020 17:09,@NASA Air pressure could be controlled..And the warmth temperatures supervised.Consecuences of space trips should be taken into account.#tsunami #artic  #antartida,Argentina/US/other.,NA,NA,NA,"['NASA', 'artyghok21']",[],[],243,93
,,,,,,,,,,,,
10,1.22982E+18,18-02-2020 17:09,@NASA Air pressure could be controlled..And the warmth temperatures supervised.Consecuences of space trips should be taken into account.#tsunami #artic  #antartida,Argentina/US/other.,NA,NA,NA,['NASA'],[],"['antartida', 'artic', 'tsunami']",243,93
,,,,,,,,,,,,
11,1.22979E+18,18-02-2020 15:19,"GAME DAY!!
On the road tonight for our final regular season road game! Your Albert Lea Tigers travel to Red Wing to take on the Wingers @RWgirlshoops 
🚌@ 3:00pm
🏀 9A @ 5:30pm
🏀 JV @ 6:00pm
🏀 Varsity @ 7:30pm
#ARTIC https://t.co/gq2tqMBWER",,NA,NA,NA,['alhsgbb'],[],[],2357,338
,,,,,,,,,,,,
12,1.22977E+18,18-02-2020 14:06,"GAME DAY!!
On the road tonight for our final regular season road game! Your Albert Lea Tigers travel to Red Wing to take on the Wingers @RWgirlshoops 
🚌@ 3:00pm
🏀 9A @ 5:30pm
🏀 JV @ 6:00pm
🏀 Varsity @ 7:30pm
#ARTIC https://t.co/gq2tqMBWER","Albert Lea, MN",NA,NA,NA,['alhsgbb'],[],[],333,292
,,,,,,,,,,,,
13,1.22977E+18,18-02-2020 14:06,"GAME DAY!!
On the road tonight for our final regular season road game! Your Albert Lea Tigers travel to Red Wing to take on the Wingers @RWgirlshoops 
🚌@ 3:00pm
🏀 9A @ 5:30pm
🏀 JV @ 6:00pm
🏀 Varsity @ 7:30pm
#ARTIC https://t.co/gq2tqMBWER",,NA,NA,NA,['RWgirlshoops'],[],['ARTIC'],138,176
,,,,,,,,,,,,
14,1.22975E+18,18-02-2020 13:00,"🧊 🇷🇺 A coming Siberian station called Snezhinka (Snowflake), will be at the center of both scientific and economic development of the Northern territories in the times of global warming. #Artic #snowflake

Article from @kommersant #crunched by @worldcrunch","Paris, France",NA,NA,NA,"['worldcrunch', 'kommersant']",[],"['crunched', 'snowflake', 'Artic']",394,7003
,,,,,,,,,,,,
15,1.22963E+18,18-02-2020 05:10,#Sami culture and tradition during the first @UN4Indigenous members meeting. As coming from SAHEL it is so nice to see how reindeer and cattle herders can have a some culture even leaving in different environments #artic and #AFRICA @SDGAdvocates @ConservationOrg https://t.co/yAIEeCypVN,Nusantara,NA,NA,NA,"['UN4Indigenous', 'hindououmar']",[],['Sami'],217,268
,,,,,,,,,,,,
